Date,Price,Open,High,Low,Vol.,Change %
22-02-2024,59603,59249,59688,59138,202.43K,-0.20%
21-02-2024,59790,59561,59874,59284,4.74K,0.45%
20-02-2024,59492,59202,59647,59115,7.76K,0.53%
19-02-2024,59276,59326,59408,59051,8.23K,-0.15%
16-02-2024,59358,60128,60526,59232,8.87K,-1.26%
15-02-2024,60098,60247,60344,59875,4.65K,-0.27%
14-02-2024,60295,60617,60676,60172,7.53K,-0.44%
13-02-2024,60611,60693,60778,60227,6.39K,-0.18%
12-02-2024,60626,60641,60901,60471,5.89K,0.01%
09-02-2024,60639,60352,60745,60273,4.48K,0.41%
08-02-2024,60375,60770,60811,60026,6.97K,-0.52%
07-02-2024,60687,61226,61293,60412,12.91K,-0.82%
06-02-2024,61253,60852,61602,60532,9.17K,0.17%
05-02-2024,61128,60777,61331,60587,6.85K,0.80%
02-02-2024,60618,60642,61092,60510,6.11K,1.27%
01-02-2024,59822,59776,60162,59620,184.04K,0.42%
31-01-2024,59680,59794,59994,59630,87.45K,-0.03%
30-01-2024,59718,59633,59950,59323,93.34K,0.08%
29-01-2024,59682,60107,60327,59561,77.56K,-0.49%
26-01-2024,59961,59885,60351,59809,45.69K,0.18%
25-01-2024,59876,60164,60223,59736,36.42K,-0.34%
24-01-2024,60072,60004,60438,59869,27.44K,0.37%
23-01-2024,59866,59499,59978,59461,28.97K,0.75%
22-01-2024,59388,60126,60255,59338,26.64K,-1.17%
19-01-2024,60078,60761,61025,60008,25.50K,0.97%
18-01-2024,59557,60238,60514,59481,285.25K,-1.99%
17-01-2024,60778,60244,61227,60235,59.97K,1.59%
16-01-2024,59757,60059,60812,59707,65.58K,-0.43%
15-01-2024,59829,60054,60361,59771,54.81K,-0.25%
12-01-2024,60003,60035,60453,59971,63.81K,-0.02%
11-01-2024,60164,60706,60738,59850,45.41K,-0.79%
10-01-2024,60612,60659,61227,60065,19.59K,-0.01%
09-01-2024,60681,60660,60907,60482,11.28K,0.35%
08-01-2024,60423,61161,61337,60300,24.42K,-1.47%
05-01-2024,61368,61345,61785,61110,11.49K,0.08%
04-01-2024,61422,61545,61759,61296,8.30K,-0.56%
03-01-2024,61794,61959,62220,61533,8.11K,-0.44%
02-01-2024,62061,61641,62129,61471,6.47K,1.12%
01-01-2024,61354,61230,61659,61216,3.86K,0.04%
29-12-2023,61295,61036,61691,60975,6.24K,0.86%
28-12-2023,60757,60555,60951,60525,3.26K,0.18%
27-12-2023,60717,60896,60967,60511,3.74K,-0.22%
26-12-2023,60772,60447,61028,60265,9.60K,0.57%
25-12-2023,60434,60222,60645,60105,7.03K,0.24%
22-12-2023,60291,60737,60987,60104,6.17K,-0.44%
21-12-2023,60590,60555,61113,60435,9.22K,2.36%
20-12-2023,59143,59078,60486,58876,10.03K,0.21%
19-12-2023,58996,59122,59544,58990,5.79K,-0.02%
18-12-2023,59038,59794,59918,58970,10.54K,-1.03%
15-12-2023,59562,60472,60610,59445,10.06K,-1.54%
14-12-2023,60705,60617,61014,60417,8.52K,-0.07%
13-12-2023,60780,60469,60927,60419,6.38K,0.56%
12-12-2023,60473,60837,61152,60217,10.39K,-0.29%
11-12-2023,60613,62156,63844,60516,19.47K,-2.26%
08-12-2023,62068,61106,62239,60973,10.49K,1.56%
07-12-2023,61052,61293,61346,60875,2.66K,-0.47%
06-12-2023,61335,61199,61470,61017,6.22K,1.28%
05-12-2023,60550,59812,60667,59709,195.42K,1.34%
04-12-2023,59826,59532,60015,59503,161.67K,0.47%
01-12-2023,59428,59094,59472,59070,96.93K,1.02%
30-11-2023,58895,58548,58939,58539,214.88K,-0.51%
29-11-2023,59191,59409,59638,59065,71.42K,-0.43%
28-11-2023,59436,58798,59677,58792,62.25K,1.07%
27-11-2023,58799,58823,59011,58414,35.71K,-0.22%
24-11-2023,58936,59015,59280,58836,19.85K,-0.13%
23-11-2023,58990,58294,59096,58162,36.93K,1.17%
22-11-2023,58296,58375,58731,58140,17.17K,-0.11%
21-11-2023,58372,57902,58631,57567,19.88K,0.82%
20-11-2023,57903,57697,58000,57468,54.17K,0.64%
17-11-2023,57485,58266,58307,57461,66.10K,-1.62%
16-11-2023,58366,57979,58416,57738,44.13K,0.60%
15-11-2023,58045,58544,58617,57913,53.12K,-0.79%
14-11-2023,58354,58682,58685,58047,61.96K,-0.76%
13-11-2023,58946,59257,59269,58823,13.86K,-0.52%
10-11-2023,59349,59181,59719,59061,11.67K,0.28%
09-11-2023,59186,59109,59338,58983,12.16K,0.30%
08-11-2023,58934,59098,59468,58670,14.00K,-0.34%
07-11-2023,59146,59489,59824,58952,9.46K,-0.56%
06-11-2023,59472,59707,59792,59299,7.63K,0.36%
03-11-2023,59202,59088,59818,58850,11.82K,0.05%
02-11-2023,59237,59049,59404,58776,11.77K,0.13%
01-11-2023,59162,58787,59265,58534,11.46K,0.44%
31-10-2023,58915,58862,59076,58289,8.52K,-0.08%
30-10-2023,58960,58960,59142,58520,9.13K,-0.33%
27-10-2023,59168,58971,59599,58853,14.06K,0.71%
26-10-2023,58732,58139,59020,58054,8.17K,0.61%
25-10-2023,58305,57366,58519,57366,9.37K,1.67%
24-10-2023,57256,57165,57505,56937,5.99K,0.08%
23-10-2023,57254,57462,57494,56876,5.61K,-0.37%
20-10-2023,57520,55772,57652,55772,16.99K,3.08%
19-10-2023,55765,55918,56179,55701,5.59K,-0.23%
18-10-2023,56021,55610,56121,55566,9.77K,0.64%
17-10-2023,55629,55609,55729,55359,7.70K,0.59%
16-10-2023,55270,55168,55646,55074,8.08K,1.02%
13-10-2023,54753,54427,54852,54109,10.60K,0.73%
12-10-2023,54376,54508,54696,54214,5.67K,-0.16%
11-10-2023,54379,54520,54728,54288,6.32K,-0.37%
10-10-2023,54583,54677,54803,54275,6.53K,-0.31%
09-10-2023,54811,55307,55319,54681,5.00K,-1.01%
06-10-2023,55278,55774,56172,55164,5.68K,-0.66%
05-10-2023,55702,56160,56225,55585,5.36K,0.38%
04-10-2023,55527,56347,56432,55510,238.53K,-1.51%
03-10-2023,56352,56801,56813,56275,212.26K,-0.87%
02-10-2023,56817,57055,57117,56735,164.26K,-0.46%
29-09-2023,56983,56807,57085,56807,139.93K,0.31%
28-09-2023,56889,57253,57259,56698,225.91K,-1.40%
27-09-2023,57717,57303,57770,57174,220.98K,0.69%
26-09-2023,57358,57405,57510,57276,131.10K,0.02%
25-09-2023,57280,57054,57348,56999,138.03K,0.37%
22-09-2023,56959,56558,57141,56520,199.77K,0.69%
21-09-2023,56657,56595,56707,56332,201.74K,0.02%
20-09-2023,56524,56603,56697,56369,161.00K,-0.13%
19-09-2023,56866,57175,57231,56714,161.99K,-0.62%
18-09-2023,57194,57080,57412,56968,131.08K,0.23%
15-09-2023,56925,56957,57256,56869,138.69K,0.01%
14-09-2023,56878,56869,57036,56814,117.17K,-0.09%
13-09-2023,56876,57089,57177,56753,148.78K,-0.43%
12-09-2023,57064,57476,57648,57005,192.79K,0.00%
11-09-2023,57098,57511,57683,57040,192.79K,-0.74%
08-09-2023,57594,57574,57978,57407,160.73K,0.06%
07-09-2023,57660,57787,57924,57649,133.71K,-0.36%
06-09-2023,57901,57696,58022,57602,142.38K,0.40%
05-09-2023,57556,57058,57597,56871,174.22K,0.94%
04-09-2023,56802,56720,57017,56606,115.55K,0.36%
01-09-2023,56582,56728,56889,56323,166.99K,-0.37%
31-08-2023,56801,56737,56924,56571,137.39K,-0.05%
30-08-2023,56765,56145,56812,56127,170.04K,1.15%
29-08-2023,56099,56041,56309,55851,131.09K,0.16%
28-08-2023,56029,55895,56172,55755,138.11K,0.34%
25-08-2023,55865,55943,56142,55847,114.74K,0.07%
24-08-2023,55788,55998,56321,55759,152.33K,-0.68%
23-08-2023,56121,56261,56409,55938,128.61K,-0.36%
22-08-2023,56685,56808,56952,56459,167.15K,-0.45%
21-08-2023,56977,57024,57100,56690,120.98K,-0.13%
18-08-2023,57088,57038,57293,56973,122.32K,-0.12%
17-08-2023,57148,57113,57576,57016,168.26K,-0.09%
16-08-2023,57252,57508,57707,57153,139.26K,-0.47%
15-08-2023,57527,57868,57906,57428,142.34K,-0.51%
14-08-2023,57795,58018,58138,57680,104.41K,-0.31%
11-08-2023,57764,57574,58001,57133,156.42K,0.37%
10-08-2023,57375,57433,57541,57249,141.35K,-0.31%
09-08-2023,57714,58120,58217,57542,169.66K,-0.19%
08-08-2023,57832,58574,58580,57817,167.76K,-1.51%
07-08-2023,58647,58317,58697,57990,139.96K,0.47%
04-08-2023,58318,57892,58379,57851,159.60K,1.76%
03-08-2023,57366,58139,58437,57252,16.91K,-1.23%
02-08-2023,58064,57953,58344,57862,11.94K,0.33%
01-08-2023,57598,57395,57688,57250,8.63K,0.08%
31-07-2023,57485,57531,57691,57285,6.44K,-0.21%
28-07-2023,57596,57773,57863,57384,3.03K,-0.22%
27-07-2023,57671,57917,58201,57581,3.48K,-0.49%
26-07-2023,57811,57857,57912,57600,3.73K,0.00%
25-07-2023,57738,57100,57940,57100,6.09K,1.23%
24-07-2023,56994,57043,57196,56792,2.11K,-0.40%
21-07-2023,57355,57384,57451,57098,3.78K,0.03%
20-07-2023,57404,57352,57528,57210,1.91K,0.11%
19-07-2023,57329,56649,57422,56649,3.81K,1.26%
18-07-2023,56624,56439,56835,56439,2.97K,0.31%
17-07-2023,56434,56413,56474,56060,2.79K,-0.08%
14-07-2023,56483,56052,56726,55994,2.35K,0.88%
13-07-2023,55985,56228,56517,55782,3.17K,-0.60%
12-07-2023,56279,56332,56722,56158,1.97K,0.99%
11-07-2023,56006,56064,56465,55861,245.93K,-1.10%
10-07-2023,56720,56627,57017,56382,1.86K,0.01%
07-07-2023,56779,56403,56814,56176,2.60K,0.60%
06-07-2023,56539,56501,56633,56037,2.43K,-0.23%
05-07-2023,56423,56476,56534,56118,1.53K,-0.09%
04-07-2023,56164,56418,56626,56065,1.84K,-0.52%
03-07-2023,56451,56443,56709,56379,0.72K,0.22%
30-06-2023,56434,56257,56961,56150,1.76K,0.30%
29-06-2023,56269,56851,56860,56249,1.66K,-1.09%
28-06-2023,56833,56923,56984,56405,3.72K,-0.14%
27-06-2023,56889,57531,57571,56692,2.02K,1.00%
26-06-2023,56316,56981,57013,56116,250.14K,-2.16%
23-06-2023,57566,57523,57821,57401,0.96K,0.03%
22-06-2023,57531,57112,57583,56542,1.82K,0.10%
21-06-2023,57462,57098,57598,56999,1.59K,0.52%
20-06-2023,57216,57609,57997,57063,2.33K,-0.56%
19-06-2023,57477,57607,57797,57292,1.38K,-0.38%
16-06-2023,57693,57792,57971,57514,1.06K,-0.07%
15-06-2023,57724,57120,57923,57100,1.69K,1.02%
14-06-2023,57175,57800,57967,57091,2.06K,-1.15%
13-06-2023,58040,57933,58075,57718,0.86K,0.36%
12-06-2023,57947,57613,58110,57366,0.96K,0.24%
09-06-2023,57843,58555,58741,57683,2.17K,-1.29%
08-06-2023,58633,58202,58761,57903,1.68K,0.67%
07-06-2023,58252,58097,58548,57952,1.28K,0.25%
06-06-2023,58113,57650,58232,57336,2.17K,0.99%
05-06-2023,57550,57090,57689,56749,264.37K,0.71%
02-06-2023,57058,57020,57424,56813,130.07K,0.04%
01-06-2023,56943,57399,57570,56807,112.69K,-1.05%
31-05-2023,57836,58201,58510,57652,77.05K,-0.49%
30-05-2023,58109,58097,58266,57566,65.64K,-0.15%
29-05-2023,58137,58216,58365,57951,48.37K,-0.23%
26-05-2023,58260,57649,58420,57520,29.51K,1.11%
25-05-2023,57733,58489,58571,57579,31.21K,-1.27%
24-05-2023,58430,58675,58786,58237,37.48K,-0.42%
23-05-2023,58791,59627,59662,58683,27.28K,-1.46%
22-05-2023,59672,59406,59801,59336,41.70K,0.15%
19-05-2023,59612,59635,59837,59200,21.57K,-0.04%
18-05-2023,59522,59997,60306,59411,68.29K,-0.81%
17-05-2023,59774,59919,60320,59524,55.46K,-0.29%
16-05-2023,59846,59440,59904,59373,63.10K,0.47%
15-05-2023,59548,59299,59656,59220,60.81K,0.42%
12-05-2023,59253,60157,60299,58731,45.84K,-1.48%
11-05-2023,60085,59969,60872,59592,22.83K,0.91%
10-05-2023,59402,59079,59772,58801,15.25K,0.67%
09-05-2023,59151,58189,59304,58094,13.37K,1.55%
08-05-2023,58016,58238,58671,57826,8.10K,-0.34%
05-05-2023,58165,58110,58298,57741,15.05K,0.02%
04-05-2023,58161,58166,58564,57674,10.37K,0.15%
03-05-2023,58106,58426,58804,58049,12.36K,-0.43%
02-05-2023,58351,58195,58633,57820,8.93K,0.24%
01-05-2023,58224,58004,58267,57797,5.73K,0.47%
28-04-2023,57917,58643,58672,57692,4.17K,-1.41%
27-04-2023,58726,58378,58859,58251,3.18K,0.59%
26-04-2023,58413,58710,58779,57652,7.31K,-0.62%
25-04-2023,58938,58571,59074,58490,3.23K,0.63%
24-04-2023,58557,58768,59161,58175,2.84K,-0.43%
21-04-2023,58866,59986,60185,58588,6.73K,-1.90%
20-04-2023,60072,59330,60275,59293,5.42K,1.49%
19-04-2023,59293,59113,59821,59035,6.30K,0.29%
18-04-2023,58986,58630,59075,58549,5.57K,0.77%
17-04-2023,58466,58766,58975,58269,3.60K,-1.11%
14-04-2023,59004,59310,59321,58721,3.48K,-0.45%
13-04-2023,59146,59224,59535,58884,4.43K,-0.13%
12-04-2023,59424,58372,59563,58167,4.34K,1.87%
11-04-2023,58413,58095,58633,57429,4.32K,0.72%
10-04-2023,57943,58281,58484,57891,4.15K,-0.57%
07-04-2023,58201,57742,58331,57450,3.89K,1.57%
06-04-2023,57275,57494,57526,57041,145.72K,-0.30%
05-04-2023,57516,57082,57625,56857,121.74K,0.96%
04-04-2023,57088,57922,57956,56833,107.04K,-1.51%
03-04-2023,58033,58369,58676,57859,118.69K,-0.58%
31-03-2023,58348,57745,58637,57510,74.55K,2.37%
30-03-2023,56939,56739,57888,56565,60.53K,0.42%
29-03-2023,56766,57995,58140,56697,65.17K,-2.07%
28-03-2023,57962,58220,58890,57594,69.06K,0.48%
27-03-2023,57692,56315,58278,56211,67.46K,2.60%
24-03-2023,56334,56348,56766,56006,34.77K,-0.43%
23-03-2023,56510,55826,56829,55289,84.73K,1.07%
22-03-2023,56093,56337,56337,55773,33.13K,-0.29%
21-03-2023,56373,55230,56449,55192,106.59K,2.60%
20-03-2023,54833,53905,55040,53756,61.68K,1.76%
17-03-2023,53894,53410,54028,53346,73.56K,0.87%
16-03-2023,53496,53469,53778,53338,62.61K,-0.07%
15-03-2023,53699,54629,54769,53623,43.01K,-1.85%
14-03-2023,54291,54474,54567,54178,14.99K,0.00%
13-03-2023,54285,53922,54557,53922,13.79K,0.76%
10-03-2023,53696,53777,53829,53563,11.17K,-0.26%
09-03-2023,53874,53538,54073,53420,11.49K,0.48%
08-03-2023,53571,53218,53623,52830,11.05K,0.63%
07-03-2023,53268,53048,53326,52903,10.69K,0.42%
06-03-2023,52922,53245,53436,52887,5.71K,-0.53%
03-03-2023,53117,53339,53529,53060,5.17K,-0.79%
02-03-2023,53980,54047,54361,53698,5.86K,-0.05%
01-03-2023,54059,54288,54460,53957,6.78K,0.91%
28-02-2023,53710,53943,54115,53608,210.17K,-1.31%
27-02-2023,54422,54279,54501,53772,5.98K,-0.09%
24-02-2023,54640,54491,54722,54198,3.75K,0.35%
23-02-2023,54245,54816,54974,54082,5.08K,-1.07%
22-02-2023,54990,54964,55455,54625,4.11K,0.11%
21-02-2023,54941,55303,55318,54868,5.60K,-0.59%
20-02-2023,55165,55141,55418,54850,6.50K,-0.22%
17-02-2023,55322,55538,56014,55092,5.50K,-0.65%
16-02-2023,55657,55485,55882,55389,6.45K,0.33%
15-02-2023,55503,55372,55851,55296,4.53K,0.28%
